price,Kecamatan,komplek,Listrik,Lantai,KM,KMP,KP,KT,Kondisi,kondisi_properti,LB,LT,carport/Garage
2800,Pondok Ranji,0,2200,2,2,0,0,2,Unfurnished,Bagus,153,129,1
2980,Pondok Ranji,0,3500,2,3,0,0,3,Furnished,Bagus,120,107,0
1900,Pondok Ranji,0,3300,2,3,1,1,3,Unfurnished,Bagus,162,98,1
1800,Pondok Ranji,1,3300,2,3,0,0,3,Unfurnished,Bagus,111,144,1
1500,BSD Graha Raya,0,2200,2,3,0,0,3,Furnished,Bagus,90,84,0
980,BSD Graha Raya,1,1300,1,1,0,0,2,Unfurnished,Bagus,72,72,1
3500,BSD Graha Raya,1,2200,2,2,1,1,4,Unfurnished,Bagus,270,253,1
1290,BSD Graha Raya,1,1300,1,1,0,1,2,Furnished,Bagus,53,90,1
2000,BSD Graha Raya,0,7700,2,3,0,0,4,Unfurnished,Bagus,177,161,1
2400,BSD Graha Raya,0,3500,2,4,0,0,6,Unfurnished,Bagus,180,130,1
